,team,city,country,location,point,lat,lon
0,Aachen,Aachen,Germany,"Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, Deutschland","(50.776351, 6.083862, 0.0)",50.776351,6.083862
1,Augsburg,Augsburg,Germany,"Augsburg, Schwaben, Bayern, Deutschland","(48.3668041, 10.8986971, 0.0)",48.3668041,10.8986971
2,Bayern Munich,Munich,Germany,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
3,Bochum,Bochum,Germany,"Bochum, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, Deutschland","(51.4818111, 7.2196635, 0.0)",51.4818111,7.2196635
4,Braunschweig,Braunschweig,Germany,"Braunschweig, Niedersachsen, Deutschland","(52.2646577, 10.5236066, 0.0)",52.2646577,10.5236066
5,Cottbus,Cottbus,Germany,"Cottbus, Cottbus - Chóśebuz, Brandenburg, 03046, Deutschland","(51.7567447, 14.3357307, 0.0)",51.7567447,14.3357307
6,Dortmund,Dortmund,Germany,"Dortmund, Regierungsbezirk Arnsberg, Nordrhein-Westfalen, 44135, Deutschland","(51.5142273, 7.4652789, 0.0)",51.5142273,7.4652789
7,Dresden,Dresden,Germany,"Dresden, Sachsen, 01069, Deutschland","(51.0493286, 13.7381437, 0.0)",51.0493286,13.7381437
8,Duisburg,Duisburg,Germany,"Duisburg, Regierungsbezirk Düsseldorf, Nordrhein-Westfalen, 47051, Deutschland","(51.434999, 6.759562, 0.0)",51.434999,6.759562
9,Erzgebirge Aue,Aue,Germany,"Aue, Aue-Bad Schlema, Erzgebirgskreis, Sachsen, 08280, Deutschland","(50.5995589, 12.708984078483, 0.0)",50.5995589,12.708984078483
10,Freiburg,Freiburg,Germany,"Freiburg im Breisgau, Regierungsbezirk Freiburg, Baden-Württemberg, Deutschland","(47.9960901, 7.8494005, 0.0)",47.9960901,7.8494005
11,Hamburg,Hamburg,Germany,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
12,Hannover,Hannover,Germany,"Hannover, Region Hannover, Niedersachsen, Deutschland","(52.3744779, 9.7385532, 0.0)",52.3744779,9.7385532
13,Hansa Rostock,Rostock,Germany,"Rostock, Mecklenburg-Vorpommern, 18057, Deutschland","(54.0924445, 12.1286127, 0.0)",54.0924445,12.1286127
14,Hertha,Berlin,Germany,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
15,Hoffenheim,Sinsheim,Germany,"Sinsheim, Verwaltungsgemeinschaft Sinsheim, Rhein-Neckar-Kreis, Regierungsbezirk Karlsruhe, Baden-Württemberg, 74889, Deutschland","(49.2553, 8.87722, 0.0)",49.2553,8.87722
16,Ingolstadt,Ingolstadt,Germany,"Ingolstadt, Oberbayern, Bayern, 85057, Deutschland","(48.7630165, 11.4250395, 0.0)",48.7630165,11.4250395
17,Kaiserslautern,Kaiserslautern,Germany,"Kaiserslautern, Rheinland-Pfalz, 67655, Deutschland","(49.4432174, 7.7689951, 0.0)",49.4432174,7.7689951
18,Karlsruhe,Karlsruhe,Germany,"Karlsruhe, Regierungsbezirk Karlsruhe, Baden-Württemberg, Deutschland","(49.0068705, 8.4034195, 0.0)",49.0068705,8.4034195
19,Leverkusen,Leverkusen,Germany,"Leverkusen, Regierungsbezirk Köln, Nordrhein-Westfalen, 51373, Deutschland","(51.0324743, 6.9881194, 0.0)",51.0324743,6.9881194
20,Mainz,Mainz,Germany,"Mainz, Rheinland-Pfalz, 55116, Deutschland","(50.0012314, 8.2762513, 0.0)",50.0012314,8.2762513
21,Paderborn,Paderborn,Germany,"Paderborn, Kreis Paderborn, Regierungsbezirk Detmold, Nordrhein-Westfalen, Deutschland","(51.71895955, 8.76486977817756, 0.0)",51.71895955,8.76486977817756
22,Schalke 04,Gelsenkirchen,Germany,"Gelsenkirchen, Regierungsbezirk Münster, Nordrhein-Westfalen, Deutschland","(51.5110321, 7.0960124, 0.0)",51.5110321,7.0960124
23,Stuttgart,Stuttgart,Germany,"Stuttgart, Regierungsbezirk Stuttgart, Baden-Württemberg, 70173, Deutschland","(48.7784485, 9.1800132, 0.0)",48.7784485,9.1800132
24,Union Berlin,Berlin,Germany,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
25,Werder Bremen,Bremen,Germany,"Bremen, Deutschland","(53.0758196, 8.8071646, 0.0)",53.0758196,8.8071646
26,Wolfsburg,Wolfsburg,Germany,"Wolfsburg, Niedersachsen, 38440, Deutschland","(52.4205588, 10.7861682, 0.0)",52.4205588,10.7861682
27,Arsenal,London (Holloway),England,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474
28,Aston Villa,Birmingham,England,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4775396, -1.894053, 0.0)",52.4775396,-1.894053
